post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
Feеl so oppressed.,Feеl so oppressed.,I feel so oppressed.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I feeⅼ oppressed.,I feeⅼ oppressed.,I feel so oppressed.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1955_1069_2
I was filled eneⲅgy.,I was filled eneⲅgy.,I was filled with energy.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_993_1060_1
I wɑs filled with.,I wɑs filled with.,I was filled with energy.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_993_1060_1
Now I can ' t stoр.,Now I can ' t stoр.,Now I can't stop crying.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2338_920_11
Noԝ I can ' t stop.,Noԝ I can ' t stop.,Now I can't stop crying.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2338_920_11
"I 100% know that if I have go to college alone without my family or any support Im end up killing myself. .. . barelу 𝒌eeping sel𝚏 alive now, I can ' t imagine being all by myself and ԝith my thoughts and emotions!","I 100% know that if I have go to college alone without my family or any support Im end up killing myself. .. . barelу 𝒌eeping sel𝚏 alive now, I can ' t imagine being all by myself and ԝith my thoughts and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
"I 100% know that if I have to ɡo to ϲollege wi𝚝hout my family or any support Im gonna end up killing mysel𝚏. .. . barely my self alive now, I can ' t imagine all by myself and dealing with my and emotions!","I 100% know that if I have to ɡo to ϲollege wi𝚝hout my family or any support Im gonna end up killing mysel𝚏. .. . barely my self alive now, I can ' t imagine all by myself and dealing with my and emotions!","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_156_366_1
I ' m crying oո the.,I ' m crying oո the.,I'm crying on the floor.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2401_82_1
I ' m cryinɡ on the.,I ' m cryinɡ on the.,I'm crying on the floor.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2401_82_1
My life is nowհere.,My life is nowհere.,My life is going nowhere.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2455_114_1
My life is nowherе.,My life is nowherе.,My life is going nowhere.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2455_114_1
I stop cryinɡ.,I stop cryinɡ.,I cant stop crying.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
Cant stop cⲅying.,Cant stop cⲅying.,I cant stop crying.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2334_738_1
"It was only later after my second Ьoyfriend, I realized I cannot sexual attraction (if I have, it was temporary ), and that am probably asexual duе tо the faϲt that I get disgusted with myself it comes to the sex part.","It was only later after my second Ьoyfriend, I realized I cannot sexual attraction (if I have, it was temporary ), and that am probably asexual duе tо the faϲt that I get disgusted with myself it comes to the sex part.","It was only later after my second boyfriend, I realized I cannot feel sexual attraction (if I have, it was very temporary), and that I am probably asexual due to the fact that I just get disgusted with myself when it comes to the sex part.",nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,0,s_716_26_15
I don ' t likе.,I don ' t likе.,I don't like me.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
I don ' 𝚝 like.,I don ' 𝚝 like.,I don't like me.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_816_5
Generally tireԁ So,Generally tireԁ So,Im generally tired So,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
Generally 𝚝ired So,Generally 𝚝ired So,Im generally tired So,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2007_1467_0
' vе cried.,' vе cried.,I've cried.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I ' cⲅied.,I ' cⲅied.,I've cried.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_145_86_2
I bеgan to.,I bеgan to.,I began to cry.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
I begɑn to.,I begɑn to.,I began to cry.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2815_1660_107
Go kill myѕelf now,Go kill myѕelf now,Imma go kill myself now,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2638_683_0
Imma kill myseⅼf now,Imma kill myseⅼf now,Imma go kill myself now,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2638_683_0
I haⲅdly.,I haⲅdly.,I hardly sleep.,nlp_randword_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
I sleеp.,I sleеp.,I hardly sleep.,nlp_randword_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_697_81_3
Am verу sad.,Am verу sad.,I am very sad.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
Am veⲅy sad.,Am veⲅy sad.,I am very sad.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I feel kinda reaⅼly,I feel kinda reaⅼly,I feel kinda really sad,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_962_142_0
I fеel kinda really,I fеel kinda really,I feel kinda really sad,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_962_142_0
I am very depressеd.,I am very depressеd.,I am very depressed also.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_131_822_0
I am very depresѕed.,I am very depresѕed.,I am very depressed also.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_131_822_0
"I ' m very, ѵery. ""","I ' m very, ѵery. ""","I'm very, very pessimistic.""",nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1478_365_9
"I ' m verу, very. ""","I ' m verу, very. ""","I'm very, very pessimistic.""",nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1478_365_9
"I ' ve been for a long time nоw wherein I sleеp at arouոd 9 or 10pm, hoping to wake up early in the morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the morning groggy noԝ I get back bed.","I ' ve been for a long time nоw wherein I sleеp at arouոd 9 or 10pm, hoping to wake up early in the morning at around 7 - 8pm, then all of a sudden I wake up at 12 or 2am in the morning groggy noԝ I get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
"I ' ve like this for a long time nоw wherein I sleep at around 9 or 10pm, hoрing wake up early in the ｍorning at aⲅound 7 - 8pm, then all of a I wake up at 12 or 2am morning feeling groggy and now I cant get back bed.","I ' ve like this for a long time nоw wherein I sleep at around 9 or 10pm, hoрing wake up early in the ｍorning at aⲅound 7 - 8pm, then all of a I wake up at 12 or 2am morning feeling groggy and now I cant get back bed.","I've been like this for a long time now wherein I sleep at around 9 or 10pm, hoping to wake up early in the morning at around 7-8pm, then all of a sudden I wake up at 12 or 2am in the morning feeling groggy and now I cant get back bed.",nlp_randword_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_852_229_1
Im tіred,Im tіred,Im so tired,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2434_365_0
Had me crуing,Had me crуing,This had me crying,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
Had me cryinɡ,Had me cryinɡ,This had me crying,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_2464_412_0
I want diе,I want diе,I want to die,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
Want to diе,Want to diе,I want to die,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_2118_413_1
I mу libido.,I mу libido.,I lost my libido.,nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
Lost my libіdo.,Lost my libіdo.,I lost my libido.,nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_2904_522_5
"I feel, hopelеss.","I feel, hopelеss.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel, hopeⅼess.","I feel, hopeⅼess.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel, hopelesѕ.","I feel, hopelesѕ.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel, hopeⅼess.","I feel, hopeⅼess.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel, hopelеss.","I feel, hopelеss.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
"I feel, hopeⅼess.","I feel, hopeⅼess.","I feel  worthless, hopeless.",nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_615_3
I being toⲅtured.,I being toⲅtured.,I am being tortured.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I ɑm being.,I ɑm being.,I am being tortured.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I cried myself 𝚝o.,I cried myself 𝚝o.,I cried myself to sleep.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1692_755_113
I cried mysеlf to.,I cried mysеlf to.,I cried myself to sleep.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1692_755_113
"I was able to experience and joy even if I did still feel lonely / depresѕed would self harm, I had the ability to and feel like the real me - now all thats gonе and Ive just gotten buried into depⲅessive hole everyday iѕ lived robotically or ghostly.","I was able to experience and joy even if I did still feel lonely / depresѕed would self harm, I had the ability to and feel like the real me - now all thats gonе and Ive just gotten buried into depⲅessive hole everyday iѕ lived robotically or ghostly.","I was able to experience novelty and joy even if I did still feel lonely/ depressed and would self harm , I had the ability to enjoy and feel like the real me - now all thats gone and Ive just gotten buried into a depressive hole where everyday is lived robotically or ghostly.",nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_258_546_2
I can ' t focսs.,I can ' t focսs.,I simply can't focus.,nlp_randword_delete+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_1404_715_5
I simplу can ' t.,I simplу can ' t.,I simply can't focus.,nlp_randword_delete+ta_wordswap_homoglyph,COGNITIVE_ISSUES,1,s_1404_715_5
This maԁe me feel.,This maԁe me feel.,This made me feel guilty.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_993_644_17
Made me feel gսilty.,Made me feel gսilty.,This made me feel guilty.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_993_644_17
"Masturbating before and also during sleep I feel like its affecting my sleep I wake up tired in the morning when I should go back tо sleep, instead I start mas𝚝urbating alsо affects how much rest I get.","Masturbating before and also during sleep I feel like its affecting my sleep I wake up tired in the morning when I should go back tо sleep, instead I start mas𝚝urbating alsо affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randword_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
"Masturbating before and also during sleep I feel like its affecting my sleep I wake up tired in the morning when I should go Ьack to sleep, insteɑd I start masturbatiոg also affects how much rest I get.","Masturbating before and also during sleep I feel like its affecting my sleep I wake up tired in the morning when I should go Ьack to sleep, insteɑd I start masturbatiոg also affects how much rest I get.","Masturbating right before and also during sleep I feel like its affecting my sleep quality If I wake up tired in the morning when I should go back to sleep, instead I start masturbating which also affects how much rest I get.",nlp_randword_delete+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_1404_1455_0
i want to ԁie,i want to ԁie,i do want to die,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
i do tо die,i do tо die,i do want to die,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_141_110_0
Cⲅy erytime,Cⲅy erytime,I cry erytime,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
Cry ery𝚝ime,Cry ery𝚝ime,I cry erytime,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_523_60_1
really hate ｍyself,really hate ｍyself,i really hate myself,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
really hatе myself,really hatе myself,i really hate myself,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1194_31_4
I cоuldnt help but.,I cоuldnt help but.,I couldnt help but cry.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1599_64_59
I helр but cry.,I helр but cry.,I couldnt help but cry.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1599_64_59
I ' quite ɑngry,I ' quite ɑngry,I'm quite angry,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
I ' m angⲅy,I ' m angⲅy,I'm quite angry,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2188_1006_0
' m really tіred.,' m really tіred.,I'm really tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
I ' really tiⲅed.,I ' really tiⲅed.,I'm really tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_547_567_2
I want the of ԁeath,I want the of ԁeath,I want the peace of death,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_1404_850_1
I want the peaϲe of,I want the peaϲe of,I want the peace of death,nlp_randword_delete+ta_wordswap_homoglyph,SUICIDAL_THOUGHTS,1,s_1404_850_1
I հave no at all.,I հave no at all.,I have no energy at all.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1455_72_50
I have no at aⅼl.,I have no at aⅼl.,I have no energy at all.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1455_72_50
Really o𝚏 myself,Really o𝚏 myself,Really proud of myself,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
Prouԁ of myself,Prouԁ of myself,Really proud of myself,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
Really of myseⅼf,Really of myseⅼf,Really proud of myself,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
Prouԁ of myself,Prouԁ of myself,Really proud of myself,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1605_228_1
Was uѕeless.,Was uѕeless.,I was useless.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
Was useⅼess.,Was useⅼess.,I was useless.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1899_440_13
"I started 𝚝o, a lot.","I started 𝚝o, a lot.","I started to cry, a lot.",nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1175_1278_23
"I stɑrted to, a lot.","I stɑrted to, a lot.","I started to cry, a lot.",nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1175_1278_23
I very tireԁ.,I very tireԁ.,I am very tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I very tirеd.,I very tirеd.,I am very tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
"So here is the case. . ' s been nearly 4 yeaⲅs, since i really don ' t feel like myself. . still inteⲅested in that interested me before, bu𝚝 my emotions are ѕo weak i am much less sensitive to particular things / people.","So here is the case. . ' s been nearly 4 yeaⲅs, since i really don ' t feel like myself. . still inteⲅested in that interested me before, bu𝚝 my emotions are ѕo weak i am much less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
"So here is the. . It ' been nearly 4 years, since reaⅼly don ' t feel like myself. . I am intеrested in activities that interestеd me before, but my emotions are so weak and i much less sensitive to рarticular things / people.","So here is the. . It ' been nearly 4 years, since reaⅼly don ' t feel like myself. . I am intеrested in activities that interestеd me before, but my emotions are so weak and i much less sensitive to рarticular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
"So here is the. . It ' been nearly 4 years, since reaⅼly don ' t feel like myself. . I am intеrested in activities that interestеd me before, but my emotions are so weak and i much less sensitive to рarticular things / people.","So here is the. . It ' been nearly 4 years, since reaⅼly don ' t feel like myself. . I am intеrested in activities that interestеd me before, but my emotions are so weak and i much less sensitive to рarticular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
"So here is the case. . ' s been nearly 4 yeaⲅs, since i really don ' t feel like myself. . still inteⲅested in that interested me before, bu𝚝 my emotions are ѕo weak i am much less sensitive to particular things / people.","So here is the case. . ' s been nearly 4 yeaⲅs, since i really don ' t feel like myself. . still inteⲅested in that interested me before, bu𝚝 my emotions are ѕo weak i am much less sensitive to particular things / people.","So here is the case.. It's been nearly 4 years, since i really don't feel like myself..I am still interested in activities that interested me before,but my emotions are so weak and i am much less sensitive to particular things/people.",nlp_randword_delete+ta_wordswap_homoglyph,ANHEDONIA,1,s_1127_16_1
I ' m going to diе.,I ' m going to diе.,I'm going to die alone.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_4
I ' m goіng to die.,I ' m goіng to die.,I'm going to die alone.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_4
I ' usеless.,I ' usеless.,I'm useless.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_32
I ' uselеss.,I ' uselеss.,I'm useless.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1933_175_32
Yеah I ' m fucking.,Yеah I ' m fucking.,Yeah I'm fucking depressed.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1749_226_7
Yeah I ' m 𝚏ucking.,Yeah I ' m 𝚏ucking.,Yeah I'm fucking depressed.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1749_226_7
My failսre.,My failսre.,Hating my failure.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2815_1585_9
My faіlure.,My faіlure.,Hating my failure.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2815_1585_9
"It ma𝒌es sad. ""","It ma𝒌es sad. ""","It makes me sad.""",nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1115_951_1
"Makes me sɑd. ""","Makes me sɑd. ""","It makes me sad.""",nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_1115_951_1
I mуself.,I mуself.,I hate myself.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
I mysel𝚏.,I mysel𝚏.,I hate myself.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_1601_880_7
Gives me anxie𝚝y,Gives me anxie𝚝y,Future gives me anxiety,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2013_92_0
Giѵes me anxiety,Giѵes me anxiety,Future gives me anxiety,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2013_92_0
I. . saԁness,I. . saԁness,I am.. sadness,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
I. . sadnеss,I. . sadnеss,I am.. sadness,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
Please pleasе help,Please pleasе help,Please please please help,nlp_randword_delete+ta_wordswap_homoglyph,SPECIAL_CASE,1,s_2006_107_0
Please please рlease,Please please рlease,Please please please help,nlp_randword_delete+ta_wordswap_homoglyph,SPECIAL_CASE,1,s_2006_107_0
I mysel𝚏.,I mysel𝚏.,I hate myself.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
I mуself.,I mуself.,I hate myself.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2006_107_7
I ' ѕo tired.,I ' ѕo tired.,I'm so tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
I ' so tireԁ.,I ' so tireԁ.,I'm so tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_10
I ' ѕo tired.,I ' ѕo tired.,I'm so tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_16
I ' so tirеd.,I ' so tirеd.,I'm so tired.,nlp_randword_delete+ta_wordswap_homoglyph,FATIGUE,1,s_2006_107_16
I mysel𝚏.,I mysel𝚏.,I  hate myself.,nlp_randword_delete+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_614_5
Li𝚏e hell.,Li𝚏e hell.,Life is hell.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_614_6
Life hеll.,Life hеll.,Life is hell.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_614_6
I am more ɑnnoyed.,I am more ɑnnoyed.,I am more than annoyed.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1296_12_9
I am more annoyeԁ.,I am more annoyeԁ.,I am more than annoyed.,nlp_randword_delete+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_1296_12_9
