post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I'm very ѕad.,I'm very ѕad.,I am very sad.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I'm verу sad.,I'm verу sad.,I am very sad.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_411_1189_1
I'm being tortuⲅed.,I'm being tortuⲅed.,I am being tortured.,ta_contraction+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I'm bеing tortured.,I'm bеing tortured.,I am being tortured.,ta_contraction+ta_wordswap_homoglyph,WORTHLESSNESS,0,s_1351_120_5
I'm very tіred.,I'm very tіred.,I am very tired.,ta_contraction+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I'm ѵery tired.,I'm ѵery tired.,I am very tired.,ta_contraction+ta_wordswap_homoglyph,FATIGUE,1,s_1030_1290_8
I'm.. sadneѕs,I'm.. sadneѕs,I am.. sadness,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
I'ｍ.. sadness,I'ｍ.. sadness,I am.. sadness,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_855_1863_0
I'm worthleѕs.,I'm worthleѕs.,I am worthless.,ta_contraction+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_2_3
I'm wor𝚝hless.,I'm wor𝚝hless.,I am worthless.,ta_contraction+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_2415_2_3
I'm hopeleѕs.,I'm hopeleѕs.,I am hopeless.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_2_4
I'm hopеless.,I'm hopеless.,I am hopeless.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_2_4
And I'd crу so hard.,And I'd crу so hard.,And I would cry so hard.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2190_134_3
And I'd cry so հard.,And I'd cry so հard.,And I would cry so hard.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2190_134_3
I'm ѕad waiting.,I'm ѕad waiting.,I am sad waiting.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_577_923_1
I'm sad waitiոg.,I'm sad waitiոg.,I am sad waiting.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,0,s_577_923_1
I've alwaуs failed.,I've alwaуs failed.,I have always failed.,ta_contraction+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_356_95_6
I've alwɑys failed.,I've alwɑys failed.,I have always failed.,ta_contraction+ta_wordswap_homoglyph,WORTHLESSNESS,1,s_356_95_6
I'm fuϲking CRYING.,I'm fuϲking CRYING.,I am fucking CRYING.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_74_207_1
I`m fucking CRYING.,I`m fucking CRYING.,I am fucking CRYING.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_74_207_1
I'm very lonelу now.,I'm very lonelу now.,I am very lonely now.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_1014_9
I'm very lonely ոow.,I'm very lonely ոow.,I am very lonely now.,ta_contraction+ta_wordswap_homoglyph,DEPRESSED_MOOD,1,s_2415_1014_9
I've insоmnia.,I've insоmnia.,I have insomnia.,ta_contraction+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_341_1177_1
I'vе insomnia.,I'vе insomnia.,I have insomnia.,ta_contraction+ta_wordswap_homoglyph,SLEEP_ISSUES,1,s_341_1177_1
I'm tіred.,I'm tіred.,I am tired.,ta_contraction+ta_wordswap_homoglyph,FATIGUE,1,s_681_475_2
I`m tired.,I`m tired.,I am tired.,ta_contraction+ta_wordswap_homoglyph,FATIGUE,1,s_681_475_2
