post_text,evidence,evidence_original,source_combo,DSM5_symptom,status,sentence_id
I hate that i'm watchword rn.,I hate that i'm watchword rn.,I hate that i am crying rn.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_321_219_4
I hate that i'm shout rn.,I hate that i'm shout rn.,I hate that i am crying rn.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_321_219_4
I'm very distressing.,I'm very distressing.,I am very sad.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
I'm very pitiful.,I'm very pitiful.,I am very sad.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,0,s_411_1189_1
I've constitute feeling down on and off.,I've constitute feeling down on and off.,I have been feeling down on and off.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2035_91_6
I've been feeling down on and away.,I've been feeling down on and away.,I have been feeling down on and off.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_2035_91_6
I'm very grim also.,I'm very grim also.,I am very depressed also.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_131_822_0
I'm very demoralize also.,I'm very demoralize also.,I am very depressed also.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_131_822_0
I'm being rack.,I'm being rack.,I am being tortured.,ta_contraction+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1351_120_5
I'm organism tortured.,I'm organism tortured.,I am being tortured.,ta_contraction+ta_wordswap_wordnet,WORTHLESSNESS,0,s_1351_120_5
That's whole I've energy for after work.,That's whole I've energy for after work.,That's all I have energy for after work.,ta_contraction+ta_wordswap_wordnet,FATIGUE,1,s_1483_10_2
That's all I've energy for after lick.,That's all I've energy for after lick.,That's all I have energy for after work.,ta_contraction+ta_wordswap_wordnet,FATIGUE,1,s_1483_10_2
I've no vitality at all.,I've no vitality at all.,I have no energy at all.,ta_contraction+ta_wordswap_wordnet,FATIGUE,1,s_1455_72_50
I've nobelium energy at all.,I've nobelium energy at all.,I have no energy at all.,ta_contraction+ta_wordswap_wordnet,FATIGUE,1,s_1455_72_50
I follow scared I won't be a successful man in the future,I follow scared I won't be a successful man in the future,I am scared I will not be a successful man in the future,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_65_110_0
I'm rattling tired.,I'm rattling tired.,I am very tired.,ta_contraction+ta_wordswap_wordnet,FATIGUE,1,s_1030_1290_8
I'm very timeworn.,I'm very timeworn.,I am very tired.,ta_contraction+ta_wordswap_wordnet,FATIGUE,1,s_1030_1290_8
I'm.. gloominess,I'm.. gloominess,I am.. sadness,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_855_1863_0
I'm.. lugubriousness,I'm.. lugubriousness,I am.. sadness,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_855_1863_0
I'm more than rag.,I'm more than rag.,I am more than annoyed.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_1296_12_9
I'm more than irritate.,I'm more than irritate.,I am more than annoyed.,ta_contraction+ta_wordswap_wordnet,DEPRESSED_MOOD,1,s_1296_12_9
